Subject	Volume	Rate	Response
A	3.7	0.825	P
A	3.5	1.09	P
A	1.25	2.5	P
A	0.75	1.5	P
A	0.8	3.2	P
A	0.7	3.5	P
A	0.6	0.75	N
A	1.1	1.7	N
A	0.9	0.75	N
B	0.9	0.45	N
B	0.8	0.57	N
B	0.55	2.75	N
B	0.6	3	N
B	1.4	2.33	P
B	0.75	3.75	P
B	2.3	1.64	P
B	3.2	1.6	P
C	0.85	1.415	P
C	1.7	1.06	N
C	1.8	1.8	P
C	0.4	2	N
C	0.95	1.36	N
C	1.35	1.35	N
C	1.5	1.36	N
C	1.6	1.78	P
C	0.6	1.5	N
C	1.8	1.5	P
C	0.95	1.9	N
C	1.9	0.95	P
C	1.6	0.4	N
C	2.7	0.75	P
C	2.35	0.03	N
C	1.1	1.83	N
C	1.1	2.2	P
C	1.2	2	P
C	0.8	3.33	P
C	0.95	1.9	N
C	0.75	1.9	N
C	1.3	1.625	P
