Run	Conc.O	Conc.B	Temp	O.per.B	Rate
1	134.5	19.1	623	5.74	218
2	108	20	623	5.5	189
3	68.6	19.9	623	5.44	192
4	49.5	20	623	5.55	174
5	41.7	20	623	5.45	152
6	29.4	19.9	623	6.31	139
7	22.5	20	623	5.39	118
8	17.2	19.9	623	5.6	120
9	17	19.7	623	5.61	122
10	22.8	20	623	5.54	132
11	41.3	20	623	5.52	167
12	59.6	20	623	5.53	208
13	119.7	20	623	5.5	216
14	158.2	20	623	5.48	294
15	23.3	20	648	5.65	229
16	40.8	20	648	5.95	296
17	140.3	20	648	5.98	547
18	140.8	19.9	648	5.96	582
19	141.2	20	648	5.64	480
20	140	19.7	648	5.56	493
21	121.2	19.96	648	6.06	513
22	104.7	19.7	648	5.63	411
23	40.8	20	648	6.09	349
24	22.6	20	648	5.88	226
25	55.2	20	648	5.64	338
26	55.4	20	648	5.64	351
27	29.5	20	648	5.63	295
28	30	20	648	5.64	294
29	16.3	20	648	5.61	233
30	16.5	20	648	5.63	222
31	20.4	12.5	648	5.7	188
32	20.5	16.6	648	5.67	231
33	20.8	20	648	5.63	239
34	21.3	30	648	5.63	301
35	19.6	43.3	648	5.62	252
36	20.6	20	648	5.72	217
37	20.5	30	648	5.43	276
38	20.3	42.7	648	5.6	467
39	16	19.1	673	5.88	429
40	23.5	20	673	6.01	475
41	132.8	20	673	6.48	1129
42	107.7	20	673	6.26	957
43	68.5	20	673	6.4	745
44	47.2	19.7	673	5.82	649
45	42.5	20.3	673	5.86	742
46	30.1	20	673	5.87	662
47	11.2	20	673	5.87	373
48	17.1	20	673	5.84	440
49	65.8	20	673	5.85	662
50	108.2	20	673	5.86	724
51	123.5	20	673	5.85	915
52	160	20	673	5.81	944
53	66.4	20	673	5.87	713
54	66.5	20	673	5.88	736
